seed,method,model,batch_size,datasets,client_num,hidden,dropout,local_updates,lr,weight_decay,test_acc,val_loss,group,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.828252009,130.7810519,105,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.851240603,103.7353175,105,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.840066377,95.64952748,105,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.815751271,135.0282504,105,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.817336215,127.0932671,105,
,,,,,,,,,,,0.830529295,105 平均值,105,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.832411966,99.18713417,2,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.840386448,100.3704369,2,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.825433974,135.1648951,2,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.833150023,116.725521,2,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.818889377,145.8357372,2,
,,,,,,,,,,,0.830054357,2 平均值,2,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.829795219,136.5156801,107,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.835854733,107.7520304,107,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.824205377,133.4404875,107,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.83213363,128.441998,107,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.825175541,135.2976045,107,
,,,,,,,,,,,0.8294329,107 平均值,107,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.841341203,97.45761066,12,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.82239924,107.78679,12,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.830688335,143.6086148,12,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.833790165,123.8534966,12,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.817882936,166.3522714,12,
,,,,,,,,,,,0.829220376,12 平均值,12,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.835333374,80.80712561,9,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.835653445,95.9181239,9,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.831710186,112.9173576,9,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.817562865,100.6518232,9,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.825217276,120.1878817,9,
,,,,,,,,,,,0.829095429,9 平均值,9,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.82478388,106.6355826,159,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.829691846,147.7598381,159,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.834476535,101.1781564,159,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.822295867,96.79092894,159,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.833573467,104.0895576,159,
,,,,,,,,,,,0.828964319,159 平均值,159,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.814997804,116.4543335,156,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.835385061,102.042491,156,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.823018515,159.2731581,156,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.83815141,103.8995516,156,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.824680507,91.6479239,156,
,,,,,,,,,,,0.827246659,156 平均值,156,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.825909104,126.066865,0,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.823839077,127.9859023,0,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.824618869,95.0727058,0,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.837501316,99.27178942,0,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.823622379,95.34680527,0,
,,,,,,,,,,,0.827098149,0 平均值,0,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.840716471,101.380631,6,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.811668362,140.099465,6,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.831173417,163.7382152,6,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.824427532,109.586667,6,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.826058706,126.9394916,6,
,,,,,,,,,,,0.826808898,6 平均值,6,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.845717857,98.51970891,102,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.816757712,142.1698387,102,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.817067831,120.0163632,102,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.824159148,121.8837773,102,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.830270349,142.2104043,102,
,,,,,,,,,,,0.826794579,102 平均值,102,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.843049424,96.20225343,11,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.816494785,117.3673341,11,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.821934062,137.4116469,11,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.824845518,114.6875151,11,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.826987136,155.8714455,11,
,,,,,,,,,,,0.826662185,11 平均值,11,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0,0.836814946,97.44611833,48,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0,0.818342656,101.3613681,48,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0,0.818342656,95.59258166,48,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0,0.830487047,99.40475654,48,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0,0.828840464,87.32496866,48,
,,,,,,,,,,,0.826565554,48 平均值,48,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.817485817,105.6640508,98,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.831441802,107.54488,98,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.836711573,148.412492,98,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.825139264,100.7637168,98,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0,0.822017531,127.1545632,98,
,,,,,,,,,,,0.826559197,98 平均值,98,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.830125242,139.1784276,63,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.817139421,146.5551047,63,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.816376003,110.5816273,63,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.830600372,108.0678418,63,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.837284618,92.26995947,63,
,,,,,,,,,,,0.826305131,63 平均值,63,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.83197857,110.908925,108,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.818404295,107.738802,108,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.83744963,121.3531603,108,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.81697441,143.0045968,108,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.824360436,115.4855585,108,
,,,,,,,,,,,0.825833468,108 平均值,108,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.818559354,107.7361847,146,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.835436747,102.5010639,146,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.806058616,177.0177404,146,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.826863859,123.2095669,146,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.838574854,86.89619954,146,
,,,,,,,,,,,0.825098686,146 平均值,146,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.820562284,1098.845129,163,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.837144969,1292.381923,163,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.828825055,1164.961413,163,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.810316488,1826.001117,163,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.1,0,0.826275403,1128.815382,163,
,,,,,,,,,,,0.82462484,163 平均值,163,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.80122224,174.6705221,7,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0,0.82973358,98.81413868,7,
