seed,method,model,batch_size,datasets,client_num,hidden,dropout,local_updates,lr,weight_decay,test_acc,val_loss,group
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.875858288,454.4777449,12
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.875720831,429.0349348,12
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.875359574,505.530729,13
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.875259487,440.2166757,13
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.875204915,443.9062174,13
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.875157178,433.5828881,13
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.875148862,890.1244036,13
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.875121618,452.3443866,14
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.875090587,539.8091753,14
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.875077912,423.5430152,14
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.874835512,439.2114737,14
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.874785796,755.9803358,14
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.874764477,434.8945534,15
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.874691633,441.2441434,15
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.874633358,440.5400117,15
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.874462236,436.4315055,15
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.874433098,460.3439393,15
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.874405855,461.2505944,16
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.874301979,461.7953961,16
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.874255639,421.8484829,16
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.87420568,450.136217,16
2,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.87419292,438.1822817,16
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.874113739,444.1051644,17
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.873994639,444.7308694,17
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.873721535,463.4559242,17
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.873642269,455.6386749,17
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.873577657,442.3061163,17
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.873575107,450.9656144,18
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0,0.873560866,601.7225437,18
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.1,0,0.873454357,619.149001,18
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.873422997,450.5523201,18
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.873383079,435.0798246,18
3,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.87322661,449.1416643,19
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.873020341,461.3210228,19
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.872953422,427.1197415,19
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.872811522,449.993263,19
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0.0005,0.8727865,446.4871242,19
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0.0005,0.872751025,447.717504,20
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0,0.872692337,438.9539454,20
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0,0.872598587,478.0235737,20
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0.0005,0.872594472,497.687443,20
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.872583934,442.8405423,20
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0,0.872529859,439.3440653,21
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0,0.872361043,976.2079262,21
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.1,0,0.872200046,576.368194,21
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.01,0.0005,0.872089421,460.9854206,21
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.871901508,491.3203282,21
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0,1,0.1,0.0005,0.871889161,1631.924761,22
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0,1,0.01,0,0.871598939,431.8007508,22
0,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.871573917,448.7047973,22
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,64,0.5,1,0.01,0,0.87149243,437.0883333,22
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.1,0,0.871486505,1764.239565,22
1,fedgsl,gnn_fedgsl_gcn,1,pubmed,3,256,0.5,1,0.01,0.0005,0.871423786,447.3894634,23
