seed,method,model,batch_size,datasets,client_num,hidden,dropout,local_updates,lr,weight_decay,test_acc,val_loss,group
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.702166711,10209.81252,29
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.751610359,3164.293475,29
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.711929901,8245.260452,29
,,,,,,,,,,,0.715656692,29 平均值,29
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.685822924,13557.2255,30
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.675628225,31752.21861,30
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.689642801,26105.10059,30
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.685528643,23416.13538,30
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.700492071,20634.31641,30
,,,,,,,,,,,0.687422933,30 平均值,30
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.704022786,23671.16759,31
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.720857041,15443.58678,31
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.763714974,8391.912944,31
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.679001888,18957.77293,31
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.719964612,10060.91082,31
,,,,,,,,,,,0.71751226,31 平均值,31
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.588431368,6677.296455,32
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.26787947,5456.447544,32
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.25,0,0.549175323,3933.298085,32
